peasants_fasci,sp3m1893_n30,cl1_stn_sp1893_n30,predr_peas_fasci,ruralcentre1861,Rural_rent,Urban_rent,agricola_rel,seminatoritot_rel,sulfurproduction1868_70,Citrus_groves,Olives_groves,Vineyards,Mafia1885,Mafia1900,lnpop1861,lnsurface,centreheight,maxheight,slope2,pa_pdist1856,port2_pdist1856,roads1799,ave_temp,sp3m_ave_n30,var_sp3m_n30,distretto1853,provincia1853
0,0.8613492250442505,14,0,1,4.0799150466918945,0.3779589533805847,0.8554280400276184,0.5130196809768677,0,0,0.008498052135109901,0.06083003431558609,0,NA,8.900958061218262,9.82723617553711,551,3274,1627,159,17.5,1,14.699999809265137,162.53570556640625,0.25448179244995117,catania,catania
0,0.7520046830177307,8,0,0,7.081482410430908,1.7713063955307007,0.9992079138755798,0.38804084062576294,0,0.0012802972923964262,0.0028297279495745897,0.12390685826539993,0,1,9.140775680541992,8.761673927307129,513,3274,1577,150,23,0,14.899999618530273,167.5543670654297,0.20920243859291077,catania,catania
0,0.6989157795906067,28,0,1,2.8474981784820557,0.47774791717529297,0.9998611807823181,0.4992354214191437,0,2.4046302132774144e-4,0.005263818893581629,0.026365235447883606,0,3,9.400299072265625,10.341588973999023,794,3112,1366,159,37,1,13.350000381469727,209.31353759765625,0.24347829818725586,catania,catania
0,0.7533852458000183,8,0,0,6.761147975921631,0,0.9993076324462891,0.12069211900234222,0,0,0.13692015409469604,0.09711108356714249,0,NA,6.5944132804870605,6.393213272094727,445,510,135,161,10,0,15.600000381469727,144.41171264648438,0.2632143795490265,catania,catania
0,0.6908440589904785,7,0,1,6.5430169105529785,12.656630516052246,0.9420567154884338,0.7082794904708862,0,0,0.02851271629333496,0.05518459901213646,0,1,11.139103889465332,9.706204414367676,37,393,196.5,172,0,1,17.799999237060547,110.76206970214844,0.26466771960258484,catania,catania
0,0.7666715979576111,7,0,0,11.907065391540527,0,0.9993484020233154,0.312549352645874,0,0,0.07244741916656494,0.2357412874698639,0,NA,7.239932537078857,6.035697937011719,355,390,78,166,5,0,16.200000762939453,153.90350341796875,0.2682717740535736,catania,catania
0,0.6839665770530701,28,0,0,2.428419589996338,0.6372789740562439,0.9998297691345215,0.3115992546081543,0,0,0,0.042503584176301956,0,0,7.878534317016602,8.186138153076172,980,2934,1039.5,163,41,1,12.699999809265137,193.6594696044922,0.2170204371213913,catania,catania
0,0.7734501957893372,38,0,0,6.33754825592041,2.6662771701812744,0.9992271065711975,0.08818746358156204,0,0,0.0526435561478138,0.2956548035144806,0,1,8.054522514343262,7.137663841247559,420,675,172.5,165,6,0,15.600000381469727,162.5152130126953,0.2595958113670349,catania,catania
1,0.7336676120758057,8,0,1,10.14401912689209,1.1681910753250122,0.9900937080383301,0.561420738697052,0,8.383723325096071e-4,0.029980389401316643,0.2180802971124649,0,3,8.720787048339844,8.072680473327637,213,332,146,168,4,1,16.700000762939453,128.47100830078125,0.26013123989105225,catania,catania
0,0.7503710389137268,8,0,0,6.024045944213867,0.35349711775779724,0.9733807444572449,0.7819716334342957,0,0,0.022425906732678413,0.15771247446537018,0,1,8.103494644165039,8.105552673339844,275,325,148,168,6,1,16.700000762939453,136.79539489746094,0.24393440783023834,catania,catania
1,0.7761366367340088,38,0,0,1.2046815156936646,0.507883608341217,0.6454363465309143,0.0148228844627738,0,0,0,0.13061662018299103,0,3,7.896552562713623,8.333163261413574,698,3274,1342,162,22.5,0,14.100000381469727,167.2908172607422,0.25619572401046753,catania,catania
1,0.7767122983932495,8,1,1,3.730578899383545,0.815402090549469,0.8287316560745239,0.6233258247375488,0,6.830019265180454e-5,0.02847054973244667,0.019851109012961388,1,2,9.801288604736328,10.085091590881348,239,2845,1403.5,159.5,12.5,1,15.375,151.16421508789062,0.24775080382823944,catania,catania
0,0.796309232711792,38,0,0,6.633975982666016,0.9680725336074829,0.7403224110603333,0.13711924850940704,0,0,0,0.3441609740257263,0,1,8.06777572631836,7.347932815551758,602,1700,617,166,10,0,14.399999618530273,176.3502655029297,0.2656894326210022,catania,catania
0,0.7776252627372742,38,0,0,12.036375045776367,0,0.999133825302124,0.5045772790908813,0,0,0,0.11884868890047073,0,NA,6.234410762786865,5.568734169006348,310,350,80,167,4,0,16.100000381469727,160.18441772460938,0.2718634605407715,catania,catania
0,0.8757328987121582,19,0,1,9.423677444458008,3.564185619354248,0.9996439218521118,0.7121898531913757,0,0.013141972944140434,0.13897700607776642,0.03927392140030861,0,0,8.789202690124512,7.623161315917969,150,370,135,158,39,0,16.799999237060547,161.0205535888672,0.16676044464111328,catania,catania
0,0.7675867676734924,38,0,0,11.860089302062988,0,1,0.11192364990711212,0,0,0.10405660420656204,0.09305138140916824,0,NA,6.878326416015625,5.4914984703063965,315,380,70,163,4,0,17.799999237060547,154.31468200683594,0.26853740215301514,catania,catania
0,0.8257914185523987,38,0,0,8.788987159729004,0,0.965515673160553,0.40065354108810425,0,0,0,0.2748074531555176,0,NA,7.402451515197754,6.825786590576172,347,400,85,168,5,0,16.100000381469727,187.44114685058594,0.2818390429019928,catania,catania
0,0.796063244342804,38,0,0,12.992411613464355,0,0.9318826198577881,0.41647639870643616,0,0,0.13196933269500732,0.18613667786121368,0,NA,7.390798568725586,6.213564395904541,336,368,129,170,7,1,16.200000762939453,170.4676055908203,0.27805057168006897,catania,catania
0,0.7660953402519226,38,0,0,4.277416229248047,0,0.5685388445854187,0.1562427133321762,0,0,0,0.10283888876438141,0,NA,6.853299140930176,6.2921857833862305,463,531,94,163,8,0,15.399999618530273,158.7431640625,0.2561129033565521,catania,catania
0,0.8130382299423218,38,0,0,8.613924026489258,1.0674593448638916,0.9372140765190125,0.09392839670181274,0,0,0,0.5198039412498474,0,1,8.01730728149414,7.167596340179443,586,1525,542.5,168,9,0,14.800000190734863,183.70831298828125,0.2733679711818695,catania,catania
0,0.8031359910964966,38,0,0,7.139954566955566,0,0.9011199474334717,0.19261230528354645,0,0,0.025555698201060295,0.38522160053253174,0,NA,7.069874286651611,6.365518569946289,392,524,227,167,6,0,15.699999809265137,176.87796020507812,0.27208831906318665,catania,catania
0,0.9311947226524353,38,0,0,13.557124137878418,2.8394243717193604,0.9276937246322632,0.10804693400859833,0,0,0.0028571828734129667,0.7384303212165833,0,NA,7.983780860900879,6.775886058807373,410,655,142,170,9,0,15.800000190734863,235.82608032226562,0.3328409790992737,catania,catania
0,0.7580106854438782,30,0,0,1.5468428134918213,0.1111062690615654,0.1749984323978424,0.020596761256456375,0,0,0,0.06480634957551956,0,NA,8.1727294921875,9.342479705810547,595,3274,1467,177,16,0,14.600000381469727,167.26260375976562,0.2257230281829834,catania,catania
1,NA,NA,1,1,2.5337746143341064,0.5589379072189331,0.9994484782218933,0.4120521545410156,20,0,0.005976636428385973,0.047998327761888504,0,2,9.362717628479004,9.61131763458252,645,824,344.5,123,50,1,14.5,125.2131576538086,0.42579883337020874,nicosia,catania
0,NA,NA,0,0,3.6247525215148926,0.19286702573299408,0.9997973442077637,0.7154870629310608,84.30000305175781,6.123307393863797e-4,0,0.07516550272703171,0,1,8.09162712097168,9.3261566162109375,840,906,347,118,63,0,13.899999618530273,125.2131576538086,0.42579883337020874,nicosia,catania
0,0.8613492250442505,14,0,0,3.622695207595825,0,0.9998886585235596,0.9175199866294861,0,0,0,0,0,2,7.412764072418213,6.972372055053711,173,300,87.5,140,43,0,16.700000762939453,149.54624938964844,0.33411550521850586,nicosia,catania
0,0.7924540042877197,14,0,0,3.5025711059570312,0.21993273496627808,0.9412646889686584,0.48356616497039795,44,4.487976839300245e-4,0.0016290503554046154,0.015058551914989948,0,1,8.859079360961914,9.678887367248535,730,733,329,142,37,1,14.199999809265137,131.27821350097656,0.3181520998477936,nicosia,catania
1,NA,NA,0,0,2.8427467346191406,0.5375146269798279,0.9538520574569702,0.5077987909317017,0,0,0,0.06670010089874268,0,2,8.391630172729492,9.026888847351074,965,1530,500,136,80,1,12.899999618530273,NA,NA,nicosia,catania
0,NA,NA,0,0,3.9907119274139404,0.528950035572052,0.9998009204864502,0.6141204237937927,0,1.7074205970857292e-5,0.008826449513435364,0.04750501364469528,0,1,8.272570610046387,8.653037071228027,651,1095,365,127,83,0,14.199999809265137,NA,NA,nicosia,catania
0,NA,NA,0,1,4.683793067932129,1.287131905555725,0.9996784925460815,0.6034435629844666,3,0.003783178748562932,0,0.06935414671897888,3,3,9.412301063537598,8.97353458404541,615,1026,365.5,114,59,0,14.199999809265137,NA,NA,nicosia,catania
1,NA,NA,0,1,3.5697574615478516,1.179632306098938,0.9941813945770264,0.6928518414497375,0,0,0.005773108918219805,0.05555782467126846,0,3,9.597709655761719,10.012223243713379,714,1558,565,126,71,1,13.899999618530273,NA,NA,nicosia,catania
1,NA,NA,0,0,5.50311803817749,0,0.9998102784156799,0.6198939681053162,0,0,0.02086607925593853,0.09005217999219894,3,3,7.844632625579834,8.722495079040527,655,1013,306.5,118,63,1,14.100000381469727,NA,NA,nicosia,catania
1,NA,NA,0,1,3.578599691390991,0.4931645393371582,0.9997324347496033,0.6671528220176697,0,1.9987777341157198e-4,0.00842108204960823,0.028699219226837158,0,2,9.104424476623535,9.666972160339355,530,1142,501,132,40,1,15.100000381469727,125.2131576538086,0.42579883337020874,nicosia,catania
0,0.7709423303604126,6,0,0,2.9474964141845703,0,0.9906626343727112,0.6015931367874146,0,0,6.639725179411471e-4,0.048975542187690735,0,2,7.443663597106934,8.70984935760498,715,1132,266,128,74,1,16.200000762939453,199.1069793701172,0.1343272179365158,nicosia,catania
1,0.6989157795906067,28,0,1,4.282952308654785,0.6753146052360535,0.9996419548988342,0.8564082384109497,0,0,0.0052679358050227165,0.0630473643541336,0,1,9.023890495300293,9.69261646270752,1120,1242,491,135,86,1,12.300000190734863,186.7177734375,0.2602026164531708,nicosia,catania
1,0.24352934956550598,3,0,1,5.425343990325928,1.2150987386703491,0.9998700022697449,0.9079790711402893,0,0.0018236128380522132,0.02644268423318863,0.024436533451080322,2,3,8.559103012084961,8.668452262878418,533,640,245,51,51,0,15.399999618530273,140.95701599121094,0.13548190891742706,bivona,girgenti
1,0.2842317819595337,3,0,0,3.9455888271331787,0.8292790055274963,1,0.9706565737724304,0,0.007247623521834612,0.01175753865391016,0.01033819280564785,2,2,8.21338176727295,9.111797332763672,503,1436,590,46,46,0,15.100000381469727,198.07777404785156,0.14105604588985443,bivona,girgenti
1,0.2842317819595337,3,0,1,3.885885000228882,1.8374958038330078,0.99944305419921875,0.40679118037223816,0,0.007716048508882523,0.038974881172180176,0.024034226313233376,1,3,8.503094673156738,8.352131843566895,317,1138,494,52,52,0,17,175.65481567382812,0.19228065013885498,bivona,girgenti
1,0.25824660062789917,3,0,0,6.10381555557251,0,0.9998493194580078,0.76368248462677,0,9.496630518697202e-4,0.019692281261086464,0.025188248604536057,0,1,6.719013214111328,8.091829299926758,307,400,135,59,59,0,16.600000381469727,152.62469482421875,0.2386818379163742,bivona,girgenti
1,0.20252838730812073,26,0,1,3.8033030033111572,0.2845670282840729,0.9997818470001221,0.6791694760322571,0,0.0014007458230480552,0.002877677557989955,0.004720793105661869,1,2,8.498417854309082,9.861902236938477,689,1579,664.5,52,52,1,13.5,158.4962921142578,0.27024441957473755,bivona,girgenti
0,0.2222815752029419,26,0,1,2.4386096000671387,0.587631344795227,0.9931264519691467,0.6367058157920837,63.79999923706055,0,0.0037999446503818035,0.010914546437561512,1,2,8.936823844909668,9.136445999145508,554,912,395.5,60,56,0,15.300000190734863,122.04841613769531,0.17163123190402985,bivona,girgenti
0,0.243207186460495,3,0,1,3.9173052310943604,0.9056283831596375,0.9998148679733276,0.6385153532028198,82.5999984741211,2.082752762362361e-4,0,0.037289779633283615,2,3,8.429890632629395,8.2154388427734375,400,516,183,64,64,0,16.200000762939453,133.03070068359375,0.14550012350082397,bivona,girgenti
